What is GitOps?	An operational model where the desired state of infrastructure and applications is declared in Git. A controller running in the cluster continuously reconciles the actual state to match Git.
What is Flux CD?	A set of Kubernetes controllers that implement GitOps — they watch Git repositories (and Helm/OCI registries) and automatically apply changes to the cluster.
What are the four core Flux controllers?	source-controller, kustomize-controller, helm-controller, notification-controller.
What does source-controller do in Flux?	It fetches artifacts from external sources (Git repos, Helm repos, OCI registries, S3 buckets) and makes them available to other controllers as versioned artifacts.
What does kustomize-controller do in Flux?	It reconciles Kustomization CRs — applying Kubernetes manifests from a source, optionally running Kustomize overlays, variable substitution, and health checks.
What does helm-controller do in Flux?	It reconciles HelmRelease CRs — installing, upgrading, and uninstalling Helm charts based on declarative specs. It depends on source-controller for chart artifacts.
What does notification-controller do in Flux?	It handles inbound webhooks (Receivers) and outbound notifications (Providers/Alerts) — e.g. triggering reconciliation on GitHub push, or sending Slack alerts on failures.
What is a GitRepository CR in Flux?	A source-controller resource that tells Flux to clone a Git repository at a given URL, branch/tag, and interval, producing a versioned tarball artifact.
What is a HelmRepository CR in Flux?	A source-controller resource pointing to a Helm chart repository (HTTP or OCI). It periodically fetches the repo index so helm-controller can pull specific chart versions.
What is a HelmRelease CR in Flux?	A helm-controller resource declaring a Helm chart to install/upgrade in a target namespace, with specific values, version constraints, and dependency ordering via `dependsOn`.
What is a Kustomization CR in Flux (kustomize.toolkit.fluxcd.io)?	A kustomize-controller resource that applies a directory of manifests from a source artifact, with optional Kustomize overlays, patches, health checks, and dependency ordering.
How does Flux's Kustomization CR differ from a kustomize.config.k8s.io Kustomization?	Flux's Kustomization (kustomize.toolkit.fluxcd.io/v1) is a controller CR that triggers reconciliation. The kustomize.config.k8s.io one is a local file (`kustomization.yaml`) that Kustomize reads to build manifests. Flux's controller uses the latter internally.
What does `flux bootstrap` do?	It installs Flux controllers in the cluster, creates a GitRepository and Kustomization pointing at your repo, commits Flux's own manifests to the repo, and sets up a deploy key for access.
Why is `flux bootstrap` idempotent?	Running it again updates Flux components if needed, re-applies configuration, but doesn't duplicate resources. It checks existing state before making changes.
What does `dependsOn` do in a HelmRelease or Kustomization?	It creates an ordering constraint — Flux won't reconcile the resource until all dependencies report as Ready. Used to ensure CRDs exist before CRs, or CNI before LoadBalancer, etc.
How does Flux adopt an existing Helm release?	When you create a HelmRelease CR with the same release name and target namespace as an existing Helm release, Flux takes ownership on the next reconciliation and runs `helm upgrade` to ensure state matches.
What is the `spec.interval` field in Flux resources?	It controls how often Flux checks for drift between the desired state (Git/Helm repo) and actual cluster state. E.g. `30m` means reconcile every 30 minutes even without new commits.
What is drift detection in Flux?	Flux periodically compares the desired manifests from Git with what's actually deployed. If someone manually edits a resource (kubectl edit), Flux reverts it on the next reconciliation cycle.
