Why does Kubernetes require a static IP on the node?	Kubernetes binds certificates to the node's IP. If the IP changes (DHCP lease renewal), the API server certificate becomes invalid and the cluster breaks.
What are two ways to ensure a stable IP for a Kubernetes node?	1) Set a static IP via NetworkManager on the Pi. 2) Set a DHCP reservation on the router for the Pi's MAC address.
Why does Kubernetes require swap to be disabled?	Kubernetes uses its own memory management (resource limits, pod eviction). Swap interferes with accurate memory accounting and can cause unpredictable latency.
Why exactly does swap interfere with Kubernetes resource management?	With swap, a pod that exceeds its memory limit doesn't get OOM-killed — it gets swapped, becoming extremely slow instead of failing. This breaks the predictability of QoS classes and makes resource guarantees meaningless.
What two kernel modules does Kubernetes networking require?	`overlay` (for container filesystems) and `br_netfilter` (for iptables to see bridged traffic).
What three sysctl parameters must be set to 1 for Kubernetes networking?	net.bridge.bridge-nf-call-iptables, net.bridge.bridge-nf-call-ip6tables, net.ipv4.ip_forward
What does `net.ipv4.ip_forward = 1` enable?	IP packet forwarding between network interfaces — required for pod-to-pod traffic routing.
What does `net.bridge.bridge-nf-call-iptables = 1` do?	Makes bridged traffic pass through iptables rules, allowing Kubernetes network policies and service routing to work on bridge interfaces.
Why does bridged traffic need `br_netfilter` for Kubernetes?	Without br_netfilter, traffic between containers on the same bridge bypasses iptables entirely. Kubernetes needs iptables to process this traffic for Services (kube-proxy rules) and NetworkPolicies.
Why does Raspberry Pi OS disable the memory cgroup controller by default?	To save overhead. It must be explicitly enabled for Kubernetes (which needs it for resource limits and pod eviction).
How do you enable the memory cgroup controller on Raspberry Pi?	Append `cgroup_enable=memory` to /boot/firmware/cmdline.txt (on the same line) and reboot.
What is the CRI (Container Runtime Interface)?	A Kubernetes API specification that defines how the kubelet communicates with container runtimes. It abstracts the runtime so Kubernetes isn't tied to a specific implementation.
Name three CRI-compatible container runtimes.	containerd, CRI-O, and Mirantis Container Runtime (formerly Docker Engine with dockershim).
What critical containerd setting must be changed for Kubernetes?	SystemdCgroup must be set to `true` (in /etc/containerd/config.toml) so containerd uses the systemd cgroup driver.
What does the `SystemdCgroup = true` setting in containerd do?	Tells containerd (via runc) to use the systemd cgroup driver instead of the cgroupfs driver. This must match kubelet's cgroup driver — systemd is the recommended default since Kubernetes 1.22+.
What happens if containerd and kubelet use different cgroup drivers?	Resource tracking becomes inconsistent. Containers may not respect limits properly, and the node can become unstable as two systems try to manage cgroups independently.
What is the cgroupfs driver?	Directly manipulates cgroup filesystem paths (/sys/fs/cgroup/) to create and manage groups. Simple but doesn't integrate with systemd's cgroup tree, leading to two competing cgroup managers on systemd-based systems.
What is the systemd cgroup driver?	Creates and manages cgroups through systemd transient units (using systemd API). This integrates with systemd's single cgroup hierarchy, avoiding conflicts. Recommended for all systemd-based Linux distributions.
What is the sandbox (pause) image in containerd?	A minimal container that holds the network namespace for each pod. Every pod starts with a pause container that other containers in the pod join.
What is crictl?	A CLI tool for interacting with CRI-compatible container runtimes. Useful for debugging container and pod issues on the node.
What file configures which container runtime socket crictl connects to?	/etc/crictl.yaml
What is the difference between `ctr` and `crictl`?	`ctr` is containerd's native CLI (talks directly to containerd API). `crictl` talks via the CRI interface and understands Kubernetes concepts like pods. crictl is better for K8s debugging.
What does `sudo crictl info` show?	Runtime status information: CRI config, CNI status, cgroup driver, runtime handlers, and error conditions. Useful to verify containerd + CRI are working.
What does `crictl pods` show?	Lists all pods managed by the CRI runtime on the node, with their state, name, namespace, and age.
What does `crictl ps` show?	Lists all containers on the node (similar to docker ps), with their state, image, pod, and creation time.
What does `crictl images` show?	Lists all container images stored locally by the container runtime.
What port does the Kubernetes API server listen on?	6443/tcp
What ports does etcd use?	2379 (client) and 2380 (peer communication).
What is the Kubernetes NodePort range?	30000–32767/tcp
What port does the Kubelet API use?	10250/tcp
What port does kube-scheduler listen on?	10259/tcp
What port does kube-controller-manager listen on?	10257/tcp
What are ports 4240 and 8472 used for with Cilium?	4240/tcp is Cilium health checking between nodes. 8472/udp is VXLAN overlay traffic for pod-to-pod communication across nodes.
What are ports 4244 and 4245 used for with Cilium?	4244/tcp is Hubble (Cilium's observability layer) for network flow monitoring. 4245/tcp is Hubble Relay for aggregating Hubble data across nodes.
What is port 7946 used for with MetalLB?	MetalLB's memberlist protocol (both TCP and UDP) — used for node-to-node communication to coordinate which node announces which LoadBalancer IP.
Why is accurate time synchronisation critical for Kubernetes?	Certificate validation and etcd consensus depend on synchronized clocks. Clock skew can cause TLS errors and etcd leader election failures.
What is the kubelet?	The primary node agent that runs on every Kubernetes node. It receives pod specs from the API server, ensures the containers described are running and healthy, and reports node/pod status back.
How does the kubelet start containers?	kubelet sends gRPC requests to the container runtime (containerd) via the CRI socket. containerd pulls images, sets up networking (via CNI), creates the sandbox (pause container), and spawns app containers via runc.
What is the Kubernetes control plane?	The set of components that make global decisions about the cluster: kube-apiserver (API), etcd (state), kube-scheduler (placement), kube-controller-manager (reconciliation loops).
What does the kube-apiserver do?	The front door to the Kubernetes cluster. It exposes the Kubernetes API (REST/gRPC), validates requests, handles authentication/authorization, and is the only component that talks directly to etcd.
What is etcd?	A distributed, strongly-consistent key-value store used by Kubernetes to persist all cluster state — pods, services, configs, secrets, node registrations, etc. Uses the Raft consensus protocol.
What is the Raft consensus protocol (used by etcd)?	An algorithm for maintaining a replicated log across a cluster of machines. A leader is elected; it replicates writes to followers. Requires a quorum (majority) of nodes to agree before committing.
Why does etcd need a quorum?	Raft requires a majority of nodes (e.g., 2 of 3, 3 of 5) to agree on writes. This ensures consistency even if some nodes fail. Without a quorum, etcd becomes read-only to prevent split-brain.
What is a split-brain problem in distributed systems?	When a network partition causes two groups of nodes to independently accept writes, leading to divergent state. Raft/etcd prevents this by requiring a quorum — only one partition can have a majority.
Why does etcd need accurate time synchronisation?	Raft uses leader leases with timeouts. If clocks are skewed, nodes may prematurely think the leader has failed and trigger unnecessary elections, causing instability.
What does the kube-scheduler do?	Watches for newly created pods with no assigned node, evaluates node fitness (resource availability, affinity/anti-affinity rules, taints/tolerations, topology), and binds the pod to the best node.
What are taints and tolerations in Kubernetes?	Taints are applied to nodes to repel pods. Tolerations are applied to pods to allow scheduling on tainted nodes. Used to dedicate nodes for specific workloads (e.g., control plane, GPU nodes).
What does the kube-controller-manager do?	Runs a collection of control loops (controllers) that watch cluster state via the API server and make changes to move from current state to desired state. Each controller handles one concern.
What is the reconciliation loop pattern in Kubernetes?	Controllers continuously: 1) observe current state, 2) compare to desired state (from the spec), 3) take action to close the gap. This is the core of Kubernetes' declarative model.
What are the Kubernetes QoS (Quality of Service) classes?	Three classes based on resource requests/limits: 1) Guaranteed (requests == limits) 2) Burstable (at least one request set, limits differ) 3) BestEffort (no requests or limits).
How does Kubernetes use QoS classes for eviction?	When a node runs low on resources, the kubelet evicts pods in order: BestEffort first, then Burstable, then Guaranteed last.
What is pod eviction in Kubernetes?	When a node is under resource pressure (memory, disk, PIDs), the kubelet proactively terminates pods to reclaim resources. It follows QoS class ordering.
What is the Kubernetes pod networking model?	Every pod gets its own unique IP address. Pods can communicate with any other pod across any node without NAT. The underlying network (CNI) creates a flat network where all pod IPs are routable.
What is a CNI (Container Network Interface)?	A specification and set of plugins that configure networking for containers. When a pod starts, the kubelet calls the CNI plugin to set up the pod's network interface, assign an IP, and configure routes.
How does CNI get invoked?	When kubelet creates a pod, it tells containerd to create the sandbox. containerd calls the CNI plugin binary (from /opt/cni/bin/) with network config from /etc/cni/net.d/.
What is a pod CIDR vs. a service CIDR?	Pod CIDR (e.g., 10.244.0.0/16) is the IP range for pod IPs — real routable addresses. Service CIDR (e.g., 10.96.0.0/12) is for virtual ClusterIP addresses — not routable, translated by kube-proxy/Cilium.
What are the Kubernetes Service types?	ClusterIP (internal virtual IP, default), NodePort (exposes on each node's IP at a static port), LoadBalancer (provisions an external LB), ExternalName (CNAME alias to an external DNS name).
What does kube-proxy do?	Runs on every node and implements Service networking. It watches Service and Endpoint objects, then programs iptables/IPVS rules to translate Service virtual IPs (ClusterIPs) to actual pod IPs.
What are the kube-proxy modes?	iptables mode (default, creates iptables DNAT rules for each Service), IPVS mode (uses Linux IPVS for better performance at scale), and the deprecated userspace mode.
Why is IPVS mode better than iptables mode for kube-proxy?	iptables rules are O(n) — every packet walks a chain of rules. IPVS uses hash tables for O(1) lookup, handling thousands of services much more efficiently.
What is the Kubernetes API server's PKI (Public Key Infrastructure)?	kubeadm generates a CA and issues certificates for: API server, kubelet, etcd, front-proxy, service account signing. All TLS communication is secured by these certificates.
Where does kubeadm store cluster PKI files?	/etc/kubernetes/pki/ — contains ca.crt, ca.key, apiserver.crt, apiserver.key, etcd/ca.crt, front-proxy-ca.crt, sa.key, sa.pub, and more.
What is the API server certificate's SAN (Subject Alternative Name)?	A certificate field listing all names/IPs the certificate is valid for. Includes the hostname, kubernetes.default, the service CIDR's first IP, and the node's IP — this is why changing the node IP breaks the cluster.
Why did Kubernetes deprecate dockershim?	Docker is a full container platform, but Kubernetes only needed the runtime part. containerd (Docker's own runtime) speaks CRI natively, so the dockershim adapter became unnecessary.
What is the container runtime stack on a Kubernetes node? (top to bottom)	kubelet → CRI (gRPC API) → containerd (image management, lifecycle) → containerd-shim (process management) → runc (Linux namespaces + cgroups) → your container process.
What are Kubernetes static pods?	Pods managed directly by the kubelet on a specific node, not through the API server. Defined as YAML files in /etc/kubernetes/manifests/. kubeadm uses static pods for control plane components.
Why does kubeadm use static pods for the control plane?	Static pods are managed by the local kubelet, not by the cluster itself. This solves the chicken-and-egg problem: you need the API server running before you can create pods via the API.
What does `kubeadm init` actually do? (high-level steps)	1) Pre-flight checks 2) Generate PKI 3) Generate kubeconfig files 4) Create static pod manifests 5) Wait for control plane 6) Apply ConfigMaps 7) Setup bootstrap tokens 8) Install CoreDNS.
What is /etc/kubernetes/admin.conf?	A kubeconfig file generated by kubeadm with cluster admin credentials (client certificate). Copied to ~/.kube/config for kubectl.
What is a kubeconfig file?	A YAML file that defines clusters (API server URL + CA), users (credentials), and contexts (cluster + user combinations). kubectl uses it to know where and how to connect.
What are Kubernetes node requirements? (hardware + config)	2+ CPUs, 2+ GB RAM, unique hostname + MAC + product_uuid across nodes, no swap, certain ports open, container runtime installed, kubelet + kubeadm installed.
What is a Kubernetes node's product_uuid and why must it be unique?	A hardware UUID at /sys/class/dmi/id/product_uuid. Kubernetes uses it to uniquely identify nodes. Duplicate UUIDs (common in cloned VMs) cause registration conflicts.
What happens when you run `kubeadm join`?	The worker: 1) contacts the API server using the bootstrap token, 2) downloads the cluster CA cert, 3) verifies it against the hash, 4) gets a kubelet client certificate, 5) starts kubelet which registers the node.
What is a bootstrap token in kubeadm?	A short-lived token (format: abcdef.0123456789abcdef) used to authenticate new nodes during cluster join. Expires after 24 hours by default.
What is kubeadm?	The official Kubernetes tool for bootstrapping a cluster. Handles certificate generation, static pod manifests, etcd setup, and component configuration. Does NOT manage infrastructure or install kubelet/kubectl.
What are the three Kubernetes packages installed on a node?	kubeadm (cluster bootstrap tool), kubelet (node agent that runs pods), kubectl (CLI for interacting with the cluster API).
Why pin kubeadm, kubelet, and kubectl versions with `apt-mark hold`?	To prevent accidental version upgrades via `apt upgrade`. Kubernetes requires coordinated version upgrades.
Why does kubelet crash-loop before `kubeadm init`?	kubelet tries to connect to the API server which doesn't exist yet. It keeps restarting until kubeadm creates the control plane. This is normal.
Why must kubeadm and containerd agree on the pause (sandbox) image?	The pause image creates the pod's network namespace. If they disagree, containerd may pull one image while kubeadm expects another, causing init failures.
What does `kubeadm config images pull` do?	Pre-downloads all container images needed for the control plane. Avoids timeouts during `kubeadm init`.
What does the `--pod-network-cidr` flag in `kubeadm init` do?	Specifies the CIDR range for pod IP addresses (e.g., 10.244.0.0/16). The CNI plugin manages this range and assigns IPs from it.
What does `--skip-phases=addon/kube-proxy` do?	Tells kubeadm to skip installing kube-proxy during initialization. Used when Cilium replaces kube-proxy's functionality with eBPF.
What is the control plane taint and why remove it on a single-node cluster?	The taint `node-role.kubernetes.io/control-plane:NoSchedule` prevents workloads from scheduling on control plane nodes. Remove it so pods can run on the only node.
