What tool is used to flash Raspberry Pi OS onto an SD card?	Raspberry Pi Imager
Which Raspberry Pi OS variant is recommended for a headless Kubernetes node?	Raspberry Pi OS Lite (64-bit) — no desktop, minimal footprint
What Debian version is Raspberry Pi OS Trixie based on?	Debian 13
What command installs Raspberry Pi Imager on macOS via Homebrew?	brew install --cask raspberry-pi-imager
What architecture does Raspberry Pi 4 run in 64-bit mode?	aarch64 (ARM64)
What does the Pi do during its first boot after flashing? (4 things)	1) Resizes filesystem to fill SD card 2) Configures user account, hostname, WiFi 3) Starts SSH server 4) Registers on the network via mDNS
How long should you wait for the Pi's first boot to complete?	60–90 seconds
Where in the Raspberry Pi Imager do you configure hostname, WiFi, and SSH?	In the OS Customisation settings (click "Edit Settings" when prompted after clicking Next)
What command removes a stale SSH host key for a re-flashed Pi?	ssh-keygen -R rara.local
Why does SSH show a host key warning after re-flashing the SD card?	The new OS generates a new SSH host key, which doesn't match the one your client cached from the previous install
What command copies your SSH public key to a remote host?	ssh-copy-id ra@rara.local
What command generates an Ed25519 SSH key pair?	ssh-keygen -t ed25519
What command checks the architecture of a Linux system?	uname -m
What command checks the WiFi connection status via NetworkManager?	nmcli dev status
What command disables SSH password authentication on the Pi?	sudo sed -i 's/^#PasswordAuthentication yes/PasswordAuthentication no/' /etc/ssh/sshd_config && sudo systemctl reload sshd
What does `nmcli -t` flag do?	Produces terse (machine-readable) output — no headers, colon-separated fields. Useful for scripting and piping.
What does `nmcli connection modify` do vs `nmcli connection edit`?	`modify` changes a property in a single command (non-interactive). `edit` opens an interactive shell for the connection profile.
What does setting `ipv4.method manual` do in NetworkManager?	Disables DHCP and uses only the statically configured IP address, gateway, and DNS servers.
What command dynamically finds the active WiFi connection name in NetworkManager?	CONN="$(nmcli -t -f NAME,DEVICE connection show --active | grep wlan0 | cut -d: -f1)"
Why should you NOT use `nmcli connection down` over SSH?	It kills the WiFi connection and your SSH session dies before `connection up` can run. Use `nmcli device reapply wlan0` instead.
What does `nmcli device reapply wlan0` do?	Applies changed connection settings in-place without disconnecting — safe to run over SSH.
What is NetworkManager?	A daemon that manages network connections on Linux. It handles WiFi, Ethernet, VPN, mobile broadband, etc. Uses connection profiles stored in /etc/NetworkManager/system-connections/. Controlled via nmcli, nmtui, or GUI.
What is the relationship between NetworkManager, dhclient, and systemd-networkd?	They are alternative network management systems — typically only one is active. NetworkManager is desktop/general-purpose, systemd-networkd is for servers/containers, dhclient is a standalone DHCP client. Using multiple simultaneously causes conflicts.
What is a connection profile in NetworkManager?	A saved set of network configuration (IP, DNS, WiFi SSID, etc.) stored as a file. A device can have multiple profiles but only one active at a time. Profiles persist across reboots.
What is zram?	A Linux kernel module that creates compressed block devices in RAM. Used for swap, it compresses pages instead of writing them to disk, trading CPU for reduced memory pressure.
How does zram swap differ from traditional disk swap?	zram swap lives in RAM (compressed), so it's much faster than disk swap but uses CPU for compression. Traditional swap writes uncompressed pages to disk/SD card.
What was `dphys-swapfile`?	The old Raspberry Pi OS swap manager that created a swap file on the SD card. Replaced by zram in Trixie.
What swap mechanism does Raspberry Pi OS Trixie use by default?	zram swap — compressed RAM-based swap (not the old dphys-swapfile).
What command immediately turns off all swap?	sudo swapoff -a
What does `swapon --show` display?	Lists all active swap devices/files with their name, type, size, and usage. No output means no swap is active.
What does commenting out a line in /etc/fstab do?	Prevents that filesystem/swap entry from being mounted/activated automatically at boot.
What does `systemctl mask` do compared to `systemctl disable`?	`disable` prevents a service from starting at boot but it can still be started manually. `mask` links the unit to /dev/null, completely preventing it from starting by any means.
Why is `systemctl mask swap.target` needed when disabling swap?	systemd has a swap.target that can reactivate swap devices. Masking it prevents systemd from turning swap back on even after swapoff.
