What is ARP (Address Resolution Protocol)?	A protocol that maps IP addresses to MAC addresses on a local network. When a device needs to send a frame, it broadcasts "who has IP X?" and the owner replies with its MAC address.
What is CIDR notation (e.g., /24)?	Classless Inter-Domain Routing — a way to express an IP address and its network mask together. /24 means the first 24 bits are the network portion, leaving 8 bits (256 addresses) for hosts. Example: 192.168.86.0/24.
What is a default gateway?	The IP address of the router that a device sends packets to when the destination is outside its local subnet. All non-local traffic gets forwarded to the gateway.
What is NAT (Network Address Translation)?	A technique where a router rewrites source/destination IP addresses in packets as they pass through. Commonly used to let many private-IP devices share a single public IP (SNAT/masquerade).
What is the difference between SNAT and DNAT?	SNAT (Source NAT) changes the source IP of outgoing packets (e.g., masquerading private IPs behind a public IP). DNAT (Destination NAT) changes the destination IP of incoming packets (e.g., port forwarding to an internal server).
What is MASQUERADE in iptables?	A special case of SNAT where the source IP is dynamically set to the outgoing interface's current IP. Useful when the outgoing IP is assigned by DHCP and may change.
What is a Linux bridge?	A software-implemented Layer 2 (Ethernet) switch inside the kernel. It connects multiple virtual or physical network interfaces, forwarding frames between them based on MAC addresses.
How does a Linux bridge differ from a router?	A bridge operates at Layer 2 (MAC addresses, Ethernet frames). A router operates at Layer 3 (IP addresses, IP packets). Bridges forward within a broadcast domain; routers forward between different networks.
What is bridged traffic in the context of Linux networking?	Network traffic that passes through a Linux bridge (software switch). Containers connected to the same bridge communicate via bridged traffic.
What is a MAC address?	A 48-bit hardware address burned into a network interface (e.g., d8:3a:dd:66:ec:3e). Unique per interface, used for Layer 2 communication. Routers and switches use MAC addresses to forward frames on the local network.
What is VXLAN?	Virtual Extensible LAN — a network overlay protocol that encapsulates Layer 2 Ethernet frames in UDP packets. Used by CNI plugins like Cilium (on port 8472) to create a virtual network for pod-to-pod traffic across nodes.
What is an overlay network?	A virtual network built on top of an existing (underlay) network. Encapsulates packets with additional headers to create a logical network topology independent of the physical one. VXLAN and Geneve are overlay protocols used by CNI plugins.
What is the underlay network?	The physical network infrastructure (switches, routers, cables, WiFi) that carries the actual packets. Overlay networks ride on top of the underlay by encapsulating their traffic inside standard underlay packets.
What is the difference between overlay and direct routing in CNI?	Overlay (VXLAN/Geneve): encapsulates pod traffic in UDP — works anywhere, adds overhead. Direct routing: pod IPs are natively routable on the network (no encapsulation) — lower overhead, but requires L3 routing support on the network.
What is BGP (Border Gateway Protocol)?	The L3 routing protocol that runs the internet. Routers exchange route announcements to determine the best path between autonomous systems (networks). MetalLB can use BGP to advertise Service IPs to upstream routers.
What is a DHCP reservation?	A router-side setting that always assigns the same IP to a specific device based on its MAC address, even though the device still uses DHCP.
What is DHCP and how does the 4-step handshake work?	Dynamic Host Configuration Protocol — automatically assigns IP addresses. Steps: 1) DISCOVER (client broadcasts "I need an IP") 2) OFFER (server offers an address) 3) REQUEST (client accepts the offer) 4) ACK (server confirms the lease).
What is a DHCP lease?	A time-limited assignment of an IP address. The client must renew before the lease expires (typically at 50% and 87.5% of the lease time) or lose the address.
What is NTP and what problem does it solve?	Network Time Protocol — synchronises system clocks over the network. Without it, clocks drift (crystal oscillators are imperfect), which breaks time-sensitive protocols like TLS certificate validation, Kerberos, and distributed consensus.
What are NTP stratum levels?	A hierarchy indicating distance from the reference clock. Stratum 0: atomic clocks, GPS receivers. Stratum 1: directly connected to stratum 0. Stratum 2: syncs from stratum 1, etc. Higher stratum = less accurate.
What protocol allows resolving `rara.local` on the local network without a DNS server?	mDNS (Multicast DNS)
What daemon provides mDNS on Raspberry Pi OS?	Avahi (avahi-daemon)
What UDP port does mDNS use for hostname announcements?	5353
What is the macOS/Apple equivalent of Avahi for mDNS resolution?	Bonjour
